sku,description,default_length,default_grade
RM2062509014,ผ้า Acrylic Solar Nova สีมิ้นท์ลายสลับเทาอ่อน 0498 หน้ากว้าง 1.20 ม.,-1.0,-
RM2062509015,ผ้า Acrylic 00594 สีเขียวใบไม้ หน้ากว้าง 1.20 ม.,-1.0,-
RM2062510001,ผ้า Acrylic Sauleda MASACRIL SOLIDS (2296) AVENA หน้ากว้าง 1.20 ม.,-1.0,-
RM7070117001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070151001,ผ้า Super PVC T5 สีดำ BK1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151002,ผ้า Super PVC T5 สีฟ้า BL1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151003,ผ้า Super PVC T5 สีน้ำเงิน BL2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151004,ผ้า Super PVC T5 สีน้ำเงินเข้ม BL3 หน้ากว้าง 1.07 ม./ เป็นเศษ ติดม้วน,-1.0,-
RM7070151005,ผ้า Super PVC T5 สีกรมท่า BL4 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151006,ผ้า Super PVC T5 สีครีม CR1 หน้ากว้าง 1.07 ม.,0.0,-
RM7070151007,ผ้า Super PVC T5 สีเขียวอ่อน GR1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151008,ผ้า Super PVC T5 สีเขียว GR2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151009,ผ้า Super PVC T5 สีเขียวเข้ม GR3 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151010,ผ้า Super PVC T5 สีเขียวขี้ม้า OD2 หน้ากว้าง 1.07 ม.,427.7,-
RM7070151011,ผ้า Super PVC T5 สีส้ม OR1 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151012,ผ้า Super PVC T5 สีแดง RD2 หน้ากว้าง 1.07 ม.,98.0,-
RM7070151013,ผ้า Super PVC T5 สีขาว WH2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070151014,ผ้า Super PVC T5 สีเหลือง YL2 หน้ากว้าง 1.07 ม.,210.0,-
RM7070151015,ผ้า Super PVC T5 สีน้ำตาล BR2 หน้ากว้าง 1.07 ม.,-1.0,-
RM7070152001,ผ้า PVC HC สีขาว HC-001 หน้ากว้าง 1.13 ม. ม้วนละ90 เมตร,536.45,-
RM7070152002,ผ้า PVC HC สีครีม HC-002 หน้ากว้าง 1.13 ม. ม้วนละ 90 เมตร,510.85,-
RM7070152003,ผ้า PVC HC สีเทา HC-005 หน้ากว้าง 1.13 ม. ม้วนละ 90 เมตร,524.1,-
RM7070152004,ผ้า PVC HC สีเทาอ่อน HC-011 หน้ากว้าง 1.13 ม.,260.65,-
RM7070152005,ผ้า PVC HC สีเหลืองมะนาว HC-012 หน้ากว้าง 1.13 ม.,257.6,-
RM7070152006,ผ้า PVC HC สีแดง HC-016 หน้ากว้าง 1.13 ม.,173.7,-
RM7070152007,ผ้า PVC HC สีเขียวขี้ม้า HC-019 หน้ากว้าง 1.13 ม.,490.4,-
RM7070152008,ผ้า PVC HC สีฟ้าน้ำเงิน HC-041 หน้ากว้าง 1.13 ม.,562.8,-
RM7070152009,ผ้า PVC HC สีชมพู HC-545 หน้ากว้าง 1.13 ม.,167.4,-
RM7070152010,ผ้า PVC HC สีเขียวอ่อน HC-869 หน้ากว้าง 1.13 ม.,1022.0,-
RM7070152011,ผ้า PVC HC สีฟ้าสว่าง HC-870 หน้ากว้าง 1.13 ม.,405.4,-
RM7070152012,ผ้า PVC HC สีม่วงอ่อน HC-298 หน้ากว้าง 1.08 ม.,143.55,-
RM7070152013,ผ้า PVC HC สีส้ม HC-046 หน้ากว้าง 1.13 ม.,270.0,-
RM7070152014,ผ้า PVC HC สีดำ HC-049 หน้ากว้าง 1.13ม.,480.0,-
RM7070152015,ผ้า PVC HC สีเหลือง HC-077 หน้ากว้าง 1.13 ม.,381.9,-
RM7070152016,ผ้า PVC HC สีกรมท่า HC-291 หน้ากว้าง 1.13 ม.,551.73,-
RM7070152017,ผ้า PVC HC สีเขียว HC-701 หน้ากว้าง 1.13 ม.,584.0,-
RM7070152018,ผ้า PVC HC สีม่วงเข้ม HC-398 หน้ากว้าง 1.08 ม.,11.41,-
RM7070152019,ผ้า PVC HC สีน้ำตาลอ่อน HC-000 หน้ากว้าง 1.13 ม,350.6,-
RM7070165001,ผ้า Solar Max สีเหลือง หน้ากว้าง 1.55 ม. SM-077,-1.0,-
RM7070165002,ผ้า Solar Max สีแดง หน้ากว้าง 1.55 ม.,-1.0,-
RM7070167001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070167002,ผ้า PVC Solar NEON สีส้ม หน้ากว้าง 1.83 ม.,-1.0,-
RM7070171001,พลาสติกใส ใน หน้ากว้าง 1.37 ม. (36 เมตร/ม้วน),-1.0,-
RM7070208001,ผ้า Solar Max (HANA) Cream 65-026 (580g) หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208002,ผ้า Solar Max (HANA) สีเทา No. 65-025 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208003,ผ้า Solar Max (HANA) สีแดง No. 65-023 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208004,ผ้า Solar Max (HANA) สีเขียวแก่ No. 65-022 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208005,ผ้า Solar Max (HANA) สีเลือดหมู No.065-021 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208006,ผ้า Solar Max (HANA) สีเหลือง No. 65-024 หน้ากว้าง 1.55 ม.,-1.0,-
RM7070208014,ผ้า Sioen P-7450 สีขาว 9917 หน้ากว้าง 2.18 ม.,-1.0,-
RM7070208030,Kader with 12 mm PVC band (100m.length per roll),-1.0,-
RM7070209001,ผ้า Sioen P-7450 (450g) สีขาว 9917 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209002,ผ้า Sioen P-7450 สีขาว 9917 หน้ากว้าง 3.20 ม. ยาว 80 ม.,-1.0,-
RM7070209003,ผ้า Sioen P-8103 สีขาว 9909 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209004,ผ้า Sioen T-1107 (725g) สีขาว 9909 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209005,ผ้า Sioen B-6101 สีขาว 9002 หน้ากว้าง 2.50 ม.,55.0,-
RM7070209006,ผ้า Sioen B-6000 (900g) สีขาว 9002 หน้ากว้าง 3.00 ม.,37.0,-
RM7070209007,ผ้า Sioen B8288 (800g) สีขาว 9909 หน้ากว้าง 2.50 ม.,28.07,-
RM7070209008,ผ้า Sioen T-2107 (1050g) สีขาว 9909 หน้ากว้าง 2.50 ม.,43.0,-
RM7070209009,ผ้า Sioen T-0107 (650g) สีขาว 9909 หน้ากว้าง 2.50 ม.,92.55,-
RM7070209010,ผ้า Sioen B-9163 สีขาว 9002 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070209011,ผ้า Sioen B-7119 สีส้ม 3018 หน้ากว้าง 3.20 ม.,-1.0,-
RM7070209012,ผ้า Sioen B-7119 (630g) สีเหลือง 1001 หน้ากว้าง 3.20 ม.,60.0,-
RM7070209013,ผ้า Sioen B-6101 สีขาว 9002 หน้ากว้าง 2.18 ม.,-1.0,-
RM7070209015,ผ้า Sioen P-7450 (450g) สีขาว 9917 หน้ากว้าง 3.00 ม. ยาว 50 ม.,-1.0,-
RM7070217001,ผ้า PVC Solar NEON สีขาว หน้ากว้าง 2.50 ม.,-1.0,-
RM7070217002,ผ้า PVC Solar NEON สีขาวสลับสีส้ม หน้ากว้าง 1.55 ม.,-1.0,-
RM7070217003,ผ้า PVC Solar NEON สีขาวสลับสีน้ำเงิน หน้ากว้าง 1.55 ม.,-1.0,-
RM7070350001,ผ้า PVC โปร่งแสง Solar View สีเขียวทะเล 888 หน้ากว้าง 1.50 m.,-1.0,-
RM7070350002,ผ้า PVC โปร่งแสง Solar View สีขาวใส 101 หนา 0.48mm /หน้ากว้าง 1.50 m. ยาว 50 เมตร/1 ม้วน,638.5,-
RM7070350003,ผ้า PVC โปร่งแสง Solar View สีน้ำตาลใส 559 หน้ากว้าง 1.50 m.,30.1,-
RM7070350004,ผ้า PVC โปร่งแสง Solar View สีฟ้าคราม 602 หน้ากว้าง 1.50 m.(หมดแล้วหมดเลย),-1.0,-
RM7070350005,ผ้า PVC โปร่งแสง Solar View สีเขียวมรกต 752 หน้ากว้าง 1.50 m.,336.39,-
RM7070367040,ผ้า PVC โปร่งแสง Solar True สี Chocolate # 092 หน้ากว้าง 2.50 ม.,-1.0,-
RM7070367060,ผ้า PVC โปร่งแสง Solar View สี Gold 007 หน้ากว้าง 1.80 ม.,1200.0,-
RM7070412001,ผ้า Vinistar Super สีใส 0.75mm.x137cm.x30m./roll,516.17,-
RM7070412002,ผ้า Vinistar Super สีใส 1.00mm.x137cm.x30m./roll,672.2,-
RM7070412003,ผ้า Vinistar Soft UV (PVC) สีชา 0.75 mm. หน้ากว้าง 1.37 ม.(หมดแล้วหมดเลย),55.2,-
RM7070412004,ผ้า Vinistar Soft UV (PVC) สีชา 1.00 mm. หน้ากว้าง 1.37 ม./(หมดแล้วหมดเลย),13.7,-
RM7070565001,ผ้า Solar Mesh B-421 Royal Blue (280Gm) หน้ากว้าง 1.58 ม,-1.0,-
RM7070565002,ผ้า Solar Mesh G-029 Green (280Gm) หน้ากว้าง 1.58 ม,-1.0,-
RM7070565003,ผ้า Solar Mesh W-010 White หน้ากว้าง 1.58 ม,-1.0,-
RM7070611001,ผ้า JF-0101 สีขาว หน้ากว้าง 2.50 ม,-1.0,-
RM7070611002,ผ้า JF-0102 สีขาว-ครีม หน้ากว้าง 2.50 ม,-1.0,-
RM7070662001,ผ้า Solar Screen สี White - White N-001 หน้ากว้าง 2.50 ม 5%,40.85,-
RM7070662002,ผ้า Solar Screen สี White - Beige N-002 หน้ากว้าง 2.50 ม 5%,52.23,-
RM7070662003,ผ้า Solar Screen สี White - Beige N-002 หน้ากว้าง 2.00 ม 5%,-1.0,-
RM7070662004,ผ้า Solar Screen สี White - Grey N-003 หน้ากว้าง 2.50 ม 5%,31.7,-
RM7070662005,ผ้า Solar Screen สี Beige - Beige N-201 หน้ากว้าง 2.50 ม. 5%,30.0,-
RM7070662006,ผ้า Solar Screen สี Grey - Grey N-301 หน้ากว้าง 2.50 ม. 5%,185.0,-
RM7070662007,ผ้า Solar Screen สี Black-Black N-901 หน้ากว้าง 2.50 ม. 5%,135.15,-
RM7070667010,ผ้า Solar Screen สีน้ำตาลเข้ม B-545 หน้ากว้าง 3.07 ม.,-1.0,-
RM7070702001,ผ้า Polyester สีเหลือง DC-004 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702002,ผ้า Polyester สีเขียวเข้ม DC-005 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702003,ผ้า Polyester สีน้ำเงิน DC-008 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702004,ผ้า Polyester สีครีม DC-009 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702005,ผ้า Polyester สีแดง-ขาว DC-017 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702006,ผ้า Polyester สีกากี DC-003 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070702007,ผ้า Polyester สีขาว DC-010 หน้ากว้าง 1.45 ม.,-1.0,-
RM7070714001,ผ้า LETOM สี Navy Blue หน้ากว้าง 1.20 ม.,-1.0,-
RM7070714002,ผ้า LETOM สี Ivory หน้ากว้าง 1.20 ม.,-1.0,-
RM7070714003,ผ้า LETOM สี Forest Green หน้ากว้าง 1.20 ม.,-1.0,-
RM7070714004,ผ้า LETOM สี Pacific Blue หน้ากว้าง 1.20 ม.,-1.0,-
RM7070714005,ผ้า LETOM สี Light Grey หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805001,ผ้า Acrylic สีขาว 001 หน้ากว้าง 1.20 ม.,156.7,-
RM7070805002,ผ้า Acrylic สีแดง 040 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),40.2,-
RM7070805003,ผ้า Acrylic สีกาแฟ 005FR หน้ากว้าง 1.20 ม.,0.0,-
RM7070805004,ผ้า Acrylic สีเขียวสด 006 N หน้ากว้าง 1.50 ม.,-1.0,-
RM7070805005,ผ้า Acrylic สีฟ้าเข้ม 007 หน้ากว้าง 1.20 ม.,508.0,-
RM7070805006,ผ้า Acrylic สีขาวสลับน้ำเงิน 012 หน้ากว้าง 1.20 ม.,430.84,-
RM7070805007,ผ้า Acrylic สีดำ 039 N หน้ากว้าง 1.50 ม.,-1.0,-
RM7070805008,ผ้า Acrylic สีขาวสลับครีม 044 หน้ากว้าง 1.20 ม.,150.63,-
RM7070805009,ผ้า Acrylic สีเลือดหมู 060N หน้ากว้าง 1.50 ม.,-1.0,-
RM7070805010,ผ้า Acrylic สีเทา 067 หน้ากว้าง 1.20 ม.,760.14,-
RM7070805011,ผ้า Acrylic สีกากี 068 หน้ากว้าง 1.20 ม.,333.14,-
RM7070805012,ผ้า Acrylic สีเทาเข้ม 098 หน้ากว้าง 1.20 ม.,1167.3,-
RM7070805013,ผ้า Acrylic สีน้ำตาลลาย 113 หน้ากว้าง 1.20 ม.,1031.9,-
RM7070805014,ผ้า Acrylic สีอิฐลาย 184 หน้ากว้าง 1.20 ม.,40.97,-
RM7070805015,ผ้า Acrylic สีส้มอิฐสลับครีม 018 หน้ากว้าง 1.20 ม.,119.8,-
RM7070805016,ผ้า Acrylic สีแสด 004 หน้ากว้าง 1.20 ม.,356.0,-
RM7070805017,ผ้า Acrylic สีเหลือง 003 หน้ากว้าง 1.20 ม.,75.84,-
RM7070805018,ผ้า Acrylic สีส้มอิฐ 036 หน้ากว้าง 1.20 ม.,343.05,-
RM7070805019,ผ้า Acrylic สีเหลืองสลับขาว 011 หน้ากว้าง 1.20 ม.,280.3,-
RM7070805020,ผ้า Acrylic สีเขียวแก่สลับขาว 019 หน้ากว้าง 1.20 ม.,487.56,-
RM7070805021,ผ้า Acrylic สีแดงสลับขาว 028 หน้ากว้าง 1.20 ม.,176.14,-
RM7070805022,ผ้า Acrylic สีเขียวแก่ 072 N หน้ากว้าง 1.53 ม.,-1.0,-
RM7070805023,ผ้า Acrylic สีน้ำเงิน 077 หน้ากว้าง 1.20 ม.,186.0,-
RM7070805024,ผ้า Acrylic สีน้ำตาลลายคาดขาว 140 หน้ากว้าง 1.20 ม. (หมดแล้วหมดเลย),-1.0,-
RM7070805025,ผ้า Acrylic สีฟ้าลายคาดขาว 141 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805026,ผ้า Acrylic สีน้ำตาลสลับขาว 512 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070805027,ผ้า Acrylic 074 หน้ากว้าง 1.20 ม. (หมดแล้วหมดเลย),-1.0,-
RM7070805028,ผ้า Acrylic 393 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805029,ผ้า Acrylic 400 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805030,ผ้า Acrylic 509 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805031,ผ้า Acrylic 558 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070805032,ผ้า Acrylic สีเขียว-ครีม 362 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805033,ผ้า Acrylic สีน้ำเงิน-ฟ้า 372 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805034,ผ้า Acrylic สีครีมเข้ม 181 หน้ากว้าง 1.20 ม. (หมดแล้วหมดเลย),0.0,-
RM7070805035,ผ้า Acrylic สี 458 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805036,ผ้า Acrylic สีแดงเข้ม 035 หน้ากว้าง 1.20 ม.,163.6,-
RM7070805037,ผ้า Acrylic สีน้ำตาลเข้มสลับสีน้ำตาลอ่อน 394 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070805038,ผ้า Acrylic สีครีมสลับสีเหลือง 529 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070805039,ผ้า Acrylic สีส้มลาย 487 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),65.0,-
RM7070805040,ผ้า Acrylic สีน้ำเงินลาย 489 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070805041,ผ้า Acrylic สีแดงลาย 109 หน้ากว้าง 1.20 ม.,38.4,-
RM7070805042,ผ้า Acrylic สีขาวสลับสีดำ 014 หน้ากว้าง 1.20 ม.,1933.2,-
RM7070805043,ผ้า Acrylic สีขาวสลับสีเทาอ่อน 017 หน้ากว้าง 1.20 ม.,409.03,-
RM7070805044,ผ้า Acrylic สีเขียวสด 006 หน้ากว้าง 1.20 ม.,561.79,-
RM7070805045,ผ้า Acrylic สีดำ 039 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),153.68,-
RM7070805046,ผ้า Acrylic สีเลือดหมู 060 หน้ากว้าง 1.20 ม.,222.0,-
RM7070805047,ผ้า Acrylic สีเขียวแก่ 072 หน้ากว้าง 1.20 ม.,223.83,-
RM7070805048,ผ้า Acrylic สีครีมสลับเขียวแก่ลาย 431 หน้ากว้าง 1.20,-1.0,-
RM70708058045,ผ้า Acrylic สีดำ 039 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070806001,ผ้า Acrylic สีครีม 7548 หน้ากว้าง 1.20 ม.,-1.0,-
RM7070806002,ผ้า Acrylic สีครีม 7548 MAX หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),41.5,-
RM7070806003,ผ้า Acrylic สียีนส์ U141 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070806004,ผ้า Acrylic สีเขียว 229 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070806005,ผ้า Acrylic สีชมพู 170 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070806006,ผ้า Acrylic สีม่วง 169 หน้ากว้าง 1.20 ม.(หมดแล้วหมดเลย),-1.0,-
RM7070908001,ผ้า Cooly Cool 004 (สีโอวัลติน) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908002,ผ้า Cooly Cool 005 (สีครีมงาช้าง) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908003,ผ้า Cooly Cool 013 (สีเขียวลาย) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908004,ผ้า Cooly Cool 014 (สีเขียวเข้ม) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908005,ผ้า Cooly Cool 033 (สีเลือดหมู) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908006,ผ้า Cooly Cool 510 (สีน้ำเงิน) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070908007,ผ้า Cooly Cool 333 (สีอิฐแดง) หน้ากว้าง 3.00 ม.,-1.0,-
RM7070915001,ผ้า Extra Block -Beige 311076 หน้ากว้าง 3.00 ม.,0.0,-
RM7070915002,ผ้า Extra Block -Latte 311083 หน้ากว้าง 3.00 ม.,0.0,-
RM7070915003,ผ้า Extra Block -Cream 311077 หน้ากว้าง 3.00 ม.,0.0,-
RM7070915004,ผ้า Extra Block -Sunblaze 311082 หน้ากว้าง 3.00 ม.,-1.0,-
RM7070915005,ผ้า Extra Block -Silver 311081 หน้ากว้าง 3.00 ม.,0.0,-
RM7070969001,ผ้า Extra Block -Cream 311077 หน้ากว้าง 3.00 ม.,-1.0,-
RM7071007040,ผ้า Ferrari Translucent 402-1399 (สีขาวโปร่งแสง) หน้ากว้าง 2.67 ม.,-1.0,-
RM7071013001,ผ้า Newport Translucent White F/R หน้ากว้าง 2.50 ม.,-1.0,-
RM7071013002,ผ้า Newport Translucent Natural F/R หน้ากว้าง 2.50 ม.,-1.0,-
RM7071013003,ผ้า Newport Translucent -Barley F/R หน้ากว้าง 2.50 ม.,-1.0,-
RM7071013004,ผ้า Newport Translucent -Dove F/R หน้ากว้าง 2.50 ม.,-1.0,-
RM7071064020,ผ้า UV Sun Block -Blue 311087 หน้ากว้าง 3.00 m.,-1.0,-
RM7071064021,ผ้า UV Sun Block -Silver 311086 หน้ากว้าง 3.00 m.,-1.0,-
RM7071064022,ผ้า UV Sun Block -Green 311089 หน้ากว้าง 3.00 m.,-1.0,-
RM7071064023,ผ้า UV Sun Block -Glod 311085 หน้ากว้าง 3.00 m.,-1.0,-
RM7071064024,ผ้า UV Sun Block -Terracotta 311088 หน้ากว้าง 3.00 m.,-1.0,-
RM7071207001,Sunbrella Plus Burgundy 5034 หน้ากว้าง 1.20 ม./ ยาว 60 เมตร,-1.0,-
RM7071207002,Sunbrella Plus Forest Green 5040 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071207003,Sunbrella Plus Cadet Gray 5033 หน้ากว้าง 1.20 ม./ ยาว 60 เมตร,-1.0,-
RM7071207004,Sunbrella Plus Charcoal Grey 5049 หน้ากว้าง 1.20 ม./ ยาว 60 เมตร,-1.0,-
RM7071207005,Sunbrella Plus Black 5032 หน้ากว้าง 1.20 ม. / ยาว 60 เมตร,-1.0,-
RM7071207006,Sunbrella Plus Green 5021 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071207007,Sunbrella Plus Dune 5026 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071207008,Sunbrella Plus Paris Red 5029 หน้ากว้าง 1.20 ม./ ยาว 60 เมตร,-1.0,-
RM7071207009,Sunbrella Plus Limen Tweed 5018 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071207010,Sunbrella Plus Marine Blue 5031 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071207011,Sunbrella Plus Orange 5024 หน้ากว้าง 1.20 ม.,-1.0,-
RM70712070112,Sunbrella Plus Brown 4026 หน้ากว้าง 1.20 ม./ยาว 60 เมตร,-1.0,-
RM7071207012,Sunbrella Plus Beaver 5072 หน้ากว้าง 1.20 ม/.,-1.0,-
RM7071207050,Verastor Tape ( 26.30 m./1 roll ),-1.0,-
RM7071269020,Sunbrella Style# 5704 Black/White หน้ากว้าง 1.20 ม.,54.25,-
RM7071307001,ผ้า Ferrari Stam 6002-20165 หน้ากว้าง 2.60 ม.,-1.0,-
RM7071307002,ผ้า Ferrari 802-8341-S2 สีครีม หน้ากว้าง 2.67 ม.,-1.0,-
RM7071307003,ผ้า Ferrari 802-8604-S2 สีขาว หน้ากว้าง 2.67 ม.,-1.0,-
RM7071307004,ผ้า Ferrari 702-8604S2 สีขาว หน้ากว้าง 2.50 ม.,76.7,-
RM7071307006,ผ้า Sioen T-2108 (1050g) สีขาว 9909 หน้ากว้าง 2.50 ม.,-1.0,-
RM7071307007,ผ้า Ferrari 86-2003 (ผ้าตาข่าย) หน้ากว้าง 1.77 ม.,-1.0,-
RM7071307024,ผ้า Ferrari 1202T2-1746 หน้ากว้าง 1.78 ม.,-1.0,-
RM7071308001,Sunbrella Plus Turquoise 4610 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071309001,ผ้า Sioen M-5550 (250g) สีขาว 9917 (ผ้าตาข่าย) หน้ากว้าง 3.20 ม. ยาว 50 เมตร,850.0,-
RM7071309002,ผ้า Sioen B-7122 (580 g) สีครีม 9920 หน้ากว้าง 2.50 ม.,150.0,-
RM7071311001,ผ้าคลุมรถ ขนาด 5 x 7 (NYLO BLUE)/(23.59 X 16.4)/สำเร็จรูป,-1.0,-
RM7071311002,ผ้าคลุมรถ ขนาด 6 x 9 (NYLO BLUE)/(19.68 x 30.18)/สำเร็จรูป,-1.0,-
RM7071311003,ผ้า Sioen P-2354 สีขาว 9917 หน้ากว้าง 3.00 ม.,55.0,-
RM7071401001,ผ้า PVC HC สีเทา+ ขาว หน้ากว้าง 1.07 เมตร,-1.0,-
RM7071401002,ผ้า Sunbrella Furniture สีขาวสลับกรมท่า 3722-0023 หน้ากว้าง 1.40 ม.,-1.0,-
RM7071401003,ผ้า Sunbrella Acrylic สีเขียวมรกตสลับดำ 4605 หน้ากว้าง 1.20 ม.,-1.0,-
RM7071402001,ผ้า Super EG888 สีเขียวขี้ม้า หน้ากว้าง 1.07 ม.,33.0,-
RM7071402002,ผ้า Sunbrella Acrylic สีขาว 6004-000 หน้ากว้าง 1.50 เมตร,-1.0,-
RM7071402003,ผ้า Polyester สีขาว หน้ากว้าง 1.50 เมตร (เคลือบหน้าเดียว),0.0,-
RM90520AA021,ผ้าสานสีน้ำเงิน/หน้าเดียว (63 เมตร/ม้วน),441.0,-
